drug_name	drug_id	chembl_id	atc_code	atc_level1	atc_level1_desc
DEQUALINIUM	DRUG:DEQUALINIUM	CHEMBL333826	G01AC05	G	Genito-urinary system and sex hormones
MEPHENESIN	DRUG:MEPHENESIN	CHEMBL229128	M03BX06	M	Musculo-skeletal system
NORDAZEPAM	DRUG:NORDAZEPAM	CHEMBL523	N05BA16	N	Nervous system
ACEPROMAZINE	DRUG:ACEPROMAZINE	CHEMBL39560	N05AA04	N	Nervous system
BAMIFYLLINE	DRUG:BAMIFYLLINE	CHEMBL2110760	R03DA08	R	Respiratory system
TYROTHRICIN	DRUG:TYROTHRICIN	CHEMBL577736	S01AA05	S	Sensory organs
DEXCHLORPHENIRAMINE	DRUG:DEXCHLORPHENIRAMINE	CHEMBL1201353	R06AB02	R	Respiratory system
SULBUTIAMINE	DRUG:SULBUTIAMINE	CHEMBL1874002	A11DA02	A	Alimentary tract and metabolism
OBETICHOLIC ACID	DRUG:OBETICHOLIC ACID	CHEMBL566315	A05AA04	A	Alimentary tract and metabolism
FEDRATINIB	DRUG:FEDRATINIB	CHEMBL1287853	L01EJ02	L	Antineoplastic and immunomodulating agents
FOSTAMATINIB	DRUG:FOSTAMATINIB	CHEMBL2103830	B02BX09	B	Blood and blood forming organs
LASMIDITAN	DRUG:LASMIDITAN	CHEMBL3039520	N02CC08	N	Nervous system
TUCATINIB	DRUG:TUCATINIB	CHEMBL3989868	L01EH03	L	Antineoplastic and immunomodulating agents
NALDEMEDINE	DRUG:NALDEMEDINE	CHEMBL2105755	A06AH05	A	Alimentary tract and metabolism
AFLIBERCEPT	DRUG:AFLIBERCEPT	CHEMBL1742982	L01XX44	L	Antineoplastic and immunomodulating agents
DARATUMUMAB	DRUG:DARATUMUMAB	CHEMBL1743007	L01FC01	L	Antineoplastic and immunomodulating agents
IBALIZUMAB	DRUG:IBALIZUMAB	CHEMBL1743029	J05AX23	J	Antiinfectives for systemic use
SECUKINUMAB	DRUG:SECUKINUMAB	CHEMBL1743068	L04AC10	L	Antineoplastic and immunomodulating agents
TEPLIZUMAB	DRUG:TEPLIZUMAB	CHEMBL1743078	A10XX01	A	Alimentary tract and metabolism
TRASTUZUMAB EMTANSINE	DRUG:TRASTUZUMAB EMTANSINE	CHEMBL1743082	L01FD03	L	Antineoplastic and immunomodulating agents
