id	name	category
AE:Anaesthetic complication pulmonary	Anaesthetic complication pulmonary	AdverseEvent
AE:Anal abscess	Anal abscess	AdverseEvent
AE:Anal atresia	Anal atresia	AdverseEvent
AE:Anal cancer	Anal cancer	AdverseEvent
AE:Anal cancer stage II	Anal cancer stage II	AdverseEvent
AE:Anal cancer stage III	Anal cancer stage III	AdverseEvent
AE:Anal fissure	Anal fissure	AdverseEvent
AE:Anal fissure haemorrhage	Anal fissure haemorrhage	AdverseEvent
AE:Anal fistula	Anal fistula	AdverseEvent
AE:Anal fistula infection	Anal fistula infection	AdverseEvent
AE:Anal haemorrhage	Anal haemorrhage	AdverseEvent
AE:Anal incontinence	Anal incontinence	AdverseEvent
AE:Anal infection	Anal infection	AdverseEvent
AE:Anal inflammation	Anal inflammation	AdverseEvent
AE:Anal polyp	Anal polyp	AdverseEvent
AE:Anal prolapse	Anal prolapse	AdverseEvent
AE:Anal pruritus	Anal pruritus	AdverseEvent
AE:Anal skin tags	Anal skin tags	AdverseEvent
AE:Anal sphincter atony	Anal sphincter atony	AdverseEvent
AE:Anal squamous cell carcinoma	Anal squamous cell carcinoma	AdverseEvent
AE:Anal stenosis	Anal stenosis	AdverseEvent
AE:Anal ulcer	Anal ulcer	AdverseEvent
AE:Analgesic asthma syndrome	Analgesic asthma syndrome	AdverseEvent
AE:Analgesic drug level above therapeutic	Analgesic drug level above therapeutic	AdverseEvent
AE:Analgesic drug level increased	Analgesic drug level increased	AdverseEvent
AE:Analgesic therapy	Analgesic therapy	AdverseEvent
AE:Anaphylactic reaction	Anaphylactic reaction	AdverseEvent
AE:Anaphylactic shock	Anaphylactic shock	AdverseEvent
AE:Anaphylactoid reaction	Anaphylactoid reaction	AdverseEvent
AE:Anaphylactoid shock	Anaphylactoid shock	AdverseEvent
AE:Anaphylactoid syndrome of pregnancy	Anaphylactoid syndrome of pregnancy	AdverseEvent
AE:Anaplastic astrocytoma	Anaplastic astrocytoma	AdverseEvent
AE:Anaplastic large cell lymphoma T- and null-cell types	Anaplastic large cell lymphoma T- and null-cell types	AdverseEvent
AE:Anaplastic large-cell lymphoma	Anaplastic large-cell lymphoma	AdverseEvent
AE:Anaplastic lymphoma kinase gene mutation	Anaplastic lymphoma kinase gene mutation	AdverseEvent
